pin,slack
p_0_cry_5:Y3,
p_0_cry_5:Y3A,3154
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_14:A,5183
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_14:Y,5183
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:A,3795
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:Y,3795
p_imag_obuf[10]/U_IOPAD:D,
p_imag_obuf[10]/U_IOPAD:E,
p_imag_obuf[10]/U_IOPAD:PAD,
p_0_cry_9:A,3165
p_0_cry_9:B,3117
p_0_cry_9:CC,3865
p_0_cry_9:P,3126
p_0_cry_9:S,3865
p_0_cry_9:Y3,
p_0_cry_9:Y3A,3117
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_34:A,5186
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_34:Y,5186
REG_OUT_R/Q[1]:ALn,
REG_OUT_R/Q[1]:CLK,
REG_OUT_R/Q[1]:D,4145
REG_OUT_R/Q[1]:EN,
REG_OUT_R/Q[1]:Q,
b_real_ibuf[6]/U_IOPAD:PAD,
b_real_ibuf[6]/U_IOPAD:Y,
p_real_obuf[5]/U_IOPAD:D,
p_real_obuf[5]/U_IOPAD:E,
p_real_obuf[5]/U_IOPAD:PAD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_8:A,5250
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_8:Y,5250
bbi_0_cry_0:A,3894
bbi_0_cry_0:B,3846
bbi_0_cry_0:CC,
bbi_0_cry_0:P,3846
bbi_0_cry_0:Y,4441
bbi_0_cry_0:Y3,
bbi_0_cry_0:Y3A,3885
REG_IN_AI/Q[2]:ALn,
REG_IN_AI/Q[2]:CLK,3881
REG_IN_AI/Q[2]:D,
REG_IN_AI/Q[2]:EN,
REG_IN_AI/Q[2]:Q,3881
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:A,4134
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:Y,4134
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:A,3791
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:Y,3791
b_imag_ibuf[5]/U_IOPAD:PAD,
b_imag_ibuf[5]/U_IOPAD:Y,
a_imag_ibuf[5]/U_IOIN:Y,
a_imag_ibuf[5]/U_IOIN:YIN,
REG_OUT_I/Q[11]:ALn,
REG_OUT_I/Q[11]:CLK,
REG_OUT_I/Q[11]:D,3764
REG_OUT_I/Q[11]:EN,
REG_OUT_I/Q[11]:Q,
pi_0_cry_3:A,2096
pi_0_cry_3:B,2057
pi_0_cry_3:CC,3911
pi_0_cry_3:P,2057
pi_0_cry_3:S,3911
pi_0_cry_3:Y3,
pi_0_cry_3:Y3A,2068
a_imag_ibuf[7]/U_IOPAD:PAD,
a_imag_ibuf[7]/U_IOPAD:Y,
REG_BBI/Q[7]:ALn,
REG_BBI/Q[7]:CLK,5287
REG_BBI/Q[7]:D,3818
REG_BBI/Q[7]:EN,
REG_BBI/Q[7]:Q,5287
REG_IN_BI/Q[6]:ALn,
REG_IN_BI/Q[6]:CLK,4100
REG_IN_BI/Q[6]:D,
REG_IN_BI/Q[6]:EN,
REG_IN_BI/Q[6]:Q,4100
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:A,3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:Y,3789
b_imag_ibuf[7]/U_IOIN:Y,
b_imag_ibuf[7]/U_IOIN:YIN,
p_imag_obuf[7]/U_IOPAD:D,
p_imag_obuf[7]/U_IOPAD:E,
p_imag_obuf[7]/U_IOPAD:PAD,
p_imag_obuf[6]/U_IOTRI:D,
p_imag_obuf[6]/U_IOTRI:DOUT,
p_imag_obuf[6]/U_IOTRI:EOUT,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:A,3793
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:Y,3793
aia_0_cry_3:A,3987
aia_0_cry_3:B,3933
aia_0_cry_3:CC,3933
aia_0_cry_3:P,3933
aia_0_cry_3:S,3933
aia_0_cry_3:Y3,
aia_0_cry_3:Y3A,3940
REG_OUT_R/Q[13]:ALn,
REG_OUT_R/Q[13]:CLK,
REG_OUT_R/Q[13]:D,3779
REG_OUT_R/Q[13]:EN,
REG_OUT_R/Q[13]:Q,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_2:A,5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_2:Y,5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:A,3837
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:Y,3837
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:A,3939
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:Y,3939
REG_OUT_R/Q[0]:ALn,
REG_OUT_R/Q[0]:CLK,
REG_OUT_R/Q[0]:D,4398
REG_OUT_R/Q[0]:EN,
REG_OUT_R/Q[0]:Q,
b_imag_ibuf[3]/U_IOPAD:PAD,
b_imag_ibuf[3]/U_IOPAD:Y,
REG_IN_BI/Q[5]:ALn,
REG_IN_BI/Q[5]:CLK,3964
REG_IN_BI/Q[5]:D,
REG_IN_BI/Q[5]:EN,
REG_IN_BI/Q[5]:Q,3964
b_imag_ibuf[7]/U_IOPAD:PAD,
b_imag_ibuf[7]/U_IOPAD:Y,
a_real_ibuf[5]/U_IOIN:Y,
a_real_ibuf[5]/U_IOIN:YIN,
aia_0_cry_5:A,4008
aia_0_cry_5:B,3958
aia_0_cry_5:CC,3837
aia_0_cry_5:P,3958
aia_0_cry_5:S,3837
aia_0_cry_5:Y3,
aia_0_cry_5:Y3A,4021
REG_IN_A/Q[0]:ALn,
REG_IN_A/Q[0]:CLK,3833
REG_IN_A/Q[0]:D,
REG_IN_A/Q[0]:EN,
REG_IN_A/Q[0]:Q,3833
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_20:A,5182
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_20:Y,5182
REG_BIR/Q[7]:ALn,
REG_BIR/Q[7]:CLK,5287
REG_BIR/Q[7]:D,5213
REG_BIR/Q[7]:EN,
REG_BIR/Q[7]:Q,5287
p_imag_obuf[7]/U_IOTRI:D,
p_imag_obuf[7]/U_IOTRI:DOUT,
p_imag_obuf[7]/U_IOTRI:EOUT,
REG_IN_BI/Q[4]:ALn,
REG_IN_BI/Q[4]:CLK,3880
REG_IN_BI/Q[4]:D,
REG_IN_BI/Q[4]:EN,
REG_IN_BI/Q[4]:Q,3880
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_34:A,5180
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_34:Y,5180
I_1/U0_RGB1:A,
I_1/U0_RGB1:Y,
aia_0_cry_0:A,3888
aia_0_cry_0:B,3833
aia_0_cry_0:CC,
aia_0_cry_0:P,3833
aia_0_cry_0:Y3,
aia_0_cry_0:Y3A,3847
REG_IN_AI/Q[0]:ALn,
REG_IN_AI/Q[0]:CLK,3840
REG_IN_AI/Q[0]:D,
REG_IN_AI/Q[0]:EN,
REG_IN_AI/Q[0]:Q,3840
en_ibuf/U_IOPAD:PAD,
en_ibuf/U_IOPAD:Y,
a_imag_ibuf[3]/U_IOPAD:PAD,
a_imag_ibuf[3]/U_IOPAD:Y,
aai_0_s_7:B,4150
aai_0_s_7:C,4167
aai_0_s_7:CC,3788
aai_0_s_7:P,
aai_0_s_7:S,3788
aai_0_s_7:Y3,
aai_0_s_7:Y3A,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:A,4435
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:Y,4435
b_imag_ibuf[4]/U_IOPAD:PAD,
b_imag_ibuf[4]/U_IOPAD:Y,
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:AL_N,
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[0],5260
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[10],5182
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[11],5182
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[12],5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[13],5183
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[14],5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[15],5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[16],5186
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[17],5186
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[1],5256
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[2],5258
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[3],5256
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[4],5256
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[5],5255
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[6],5256
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[7],5183
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[8],5184
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[9],5181
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A_EN,
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[0],4435
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[10],3788
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[11],3793
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[12],3793
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[13],3795
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[14],3795
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[15],3796
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[16],3795
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[17],3798
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[1],4177
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[2],4134
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[3],3939
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[4],3879
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[5],3843
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[6],3917
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[7],3793
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[8],3791
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[9],3789
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B_EN,
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:CLK,2902
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[0],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[10],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[11],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[13],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[14],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[16],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[17],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[19],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[1],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[20],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[22],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[23],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[25],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[26],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[28],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[29],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[2],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[31],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[32],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[34],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[35],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[37],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[38],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[3],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[40],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[41],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[43],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[44],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[46],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[47],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[4],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[5],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[6],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[7],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[8],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[9],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[0],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[10],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[11],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[12],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[13],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[14],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[15],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[16],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[17],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[1],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[2],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[3],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[4],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[5],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[6],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[7],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[8],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[9],
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[0],2971
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[10],3085
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[11],3163
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[12],3080
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[13],3005
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[14],3123
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[15],3292
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[1],2902
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[2],3020
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[3],3064
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[4],2976
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[5],3094
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[6],3043
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[7],3014
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[8],3086
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[9],3117
k2_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P_EN,
REG_OUT_I/Q[7]:ALn,
REG_OUT_I/Q[7]:CLK,
REG_OUT_I/Q[7]:D,3838
REG_OUT_I/Q[7]:EN,
REG_OUT_I/Q[7]:Q,
b_imag_ibuf[3]/U_IOIN:Y,
b_imag_ibuf[3]/U_IOIN:YIN,
p_0_cry_10:A,3125
p_0_cry_10:B,3085
p_0_cry_10:CC,3802
p_0_cry_10:P,3085
p_0_cry_10:S,3802
p_0_cry_10:Y3,
p_0_cry_10:Y3A,3140
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:A,3843
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_11:Y,3843
REG_IN_A/Q[7]:ALn,
REG_IN_A/Q[7]:CLK,4150
REG_IN_A/Q[7]:D,
REG_IN_A/Q[7]:EN,
REG_IN_A/Q[7]:Q,4150
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_0:A,5260
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_0:Y,5260
b_real_ibuf[7]/U_IOIN:Y,
b_real_ibuf[7]/U_IOIN:YIN,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_24:A,5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_24:Y,5185
REG_BIRR/Q[7]:ALn,
REG_BIRR/Q[7]:CLK,2462
REG_BIRR/Q[7]:D,5287
REG_BIRR/Q[7]:EN,
REG_BIRR/Q[7]:Q,2462
p_real_obuf[2]/U_IOPAD:D,
p_real_obuf[2]/U_IOPAD:E,
p_real_obuf[2]/U_IOPAD:PAD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:A,3783
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:Y,3783
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_12:A,5250
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_12:Y,5250
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_32:A,5186
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_32:Y,5186
b_real_ibuf[5]/U_IOIN:Y,
b_real_ibuf[5]/U_IOIN:YIN,
aai_0_cry_0:A,3881
aai_0_cry_0:B,3840
aai_0_cry_0:CC,
aai_0_cry_0:P,3840
aai_0_cry_0:Y,4435
aai_0_cry_0:Y3,
aai_0_cry_0:Y3A,3879
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_4:A,5258
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_4:Y,5258
pi_0_cry_11:A,2194
pi_0_cry_11:B,2156
pi_0_cry_11:CC,3764
pi_0_cry_11:P,2156
pi_0_cry_11:S,3764
pi_0_cry_11:Y3,
pi_0_cry_11:Y3A,2217
a_imag_ibuf[1]/U_IOIN:Y,
a_imag_ibuf[1]/U_IOIN:YIN,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_30:A,5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_30:Y,5185
aia_0_cry_6:A,4148
aia_0_cry_6:B,4094
aia_0_cry_6:CC,3911
aia_0_cry_6:P,4094
aia_0_cry_6:S,3911
aia_0_cry_6:Y3,
aia_0_cry_6:Y3A,4129
p_imag_obuf[12]/U_IOPAD:D,
p_imag_obuf[12]/U_IOPAD:E,
p_imag_obuf[12]/U_IOPAD:PAD,
REG_IN_BI/Q[1]:ALn,
REG_IN_BI/Q[1]:CLK,3788
REG_IN_BI/Q[1]:D,
REG_IN_BI/Q[1]:EN,
REG_IN_BI/Q[1]:Q,3788
pi_0_cry_13:A,2038
pi_0_cry_13:B,1998
pi_0_cry_13:CC,3779
pi_0_cry_13:P,1998
pi_0_cry_13:S,3779
pi_0_cry_13:Y3,
pi_0_cry_13:Y3A,2092
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_18:A,5175
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_18:Y,5175
aai_0_cry_2:A,3923
aai_0_cry_2:B,3881
aai_0_cry_2:CC,4134
aai_0_cry_2:P,3881
aai_0_cry_2:S,4134
aai_0_cry_2:Y3,
aai_0_cry_2:Y3A,3978
p_real_obuf[9]/U_IOTRI:D,
p_real_obuf[9]/U_IOTRI:DOUT,
p_real_obuf[9]/U_IOTRI:EOUT,
b_real_ibuf[2]/U_IOPAD:PAD,
b_real_ibuf[2]/U_IOPAD:Y,
a_imag_ibuf[0]/U_IOIN:Y,
a_imag_ibuf[0]/U_IOIN:YIN,
REG_OUT_I/Q[3]:ALn,
REG_OUT_I/Q[3]:CLK,
REG_OUT_I/Q[3]:D,3911
REG_OUT_I/Q[3]:EN,
REG_OUT_I/Q[3]:Q,
p_imag_obuf[13]/U_IOPAD:D,
p_imag_obuf[13]/U_IOPAD:E,
p_imag_obuf[13]/U_IOPAD:PAD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_8:A,5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_8:Y,5256
REG_OUT_I/Q[13]:ALn,
REG_OUT_I/Q[13]:CLK,
REG_OUT_I/Q[13]:D,3779
REG_OUT_I/Q[13]:EN,
REG_OUT_I/Q[13]:Q,
p_real_obuf[8]/U_IOPAD:D,
p_real_obuf[8]/U_IOPAD:E,
p_real_obuf[8]/U_IOPAD:PAD,
p_real_obuf[5]/U_IOTRI:D,
p_real_obuf[5]/U_IOTRI:DOUT,
p_real_obuf[5]/U_IOTRI:EOUT,
p_real_obuf[14]/U_IOPAD:D,
p_real_obuf[14]/U_IOPAD:E,
p_real_obuf[14]/U_IOPAD:PAD,
p_imag_obuf[9]/U_IOPAD:D,
p_imag_obuf[9]/U_IOPAD:E,
p_imag_obuf[9]/U_IOPAD:PAD,
p_real_obuf[0]/U_IOTRI:D,
p_real_obuf[0]/U_IOTRI:DOUT,
p_real_obuf[0]/U_IOTRI:EOUT,
p_0_cry_2:A,3059
p_0_cry_2:B,3020
p_0_cry_2:CC,4103
p_0_cry_2:P,3020
p_0_cry_2:S,4103
p_0_cry_2:Y3,
p_0_cry_2:Y3A,3086
REG_IN_B/Q[5]:ALn,
REG_IN_B/Q[5]:CLK,4008
REG_IN_B/Q[5]:D,
REG_IN_B/Q[5]:EN,
REG_IN_B/Q[5]:Q,4008
p_0_cry_0_CC_0:CC[0],
p_0_cry_0_CC_0:CC[10],3802
p_0_cry_0_CC_0:CC[11],3764
p_0_cry_0_CC_0:CC[1],4145
p_0_cry_0_CC_0:CC[2],4103
p_0_cry_0_CC_0:CC[3],3911
p_0_cry_0_CC_0:CC[4],3853
p_0_cry_0_CC_0:CC[5],3815
p_0_cry_0_CC_0:CC[6],3892
p_0_cry_0_CC_0:CC[7],3838
p_0_cry_0_CC_0:CC[8],3795
p_0_cry_0_CC_0:CC[9],3865
p_0_cry_0_CC_0:CO,2902
p_0_cry_0_CC_0:P[0],2971
p_0_cry_0_CC_0:P[10],3085
p_0_cry_0_CC_0:P[11],3163
p_0_cry_0_CC_0:P[1],2902
p_0_cry_0_CC_0:P[2],3020
p_0_cry_0_CC_0:P[3],3064
p_0_cry_0_CC_0:P[4],2976
p_0_cry_0_CC_0:P[5],3094
p_0_cry_0_CC_0:P[6],3046
p_0_cry_0_CC_0:P[7],3014
p_0_cry_0_CC_0:P[8],3086
p_0_cry_0_CC_0:P[9],3126
p_0_cry_0_CC_0:Y3A[0],2978
p_0_cry_0_CC_0:Y3A[10],3140
p_0_cry_0_CC_0:Y3A[11],3220
p_0_cry_0_CC_0:Y3A[1],2990
p_0_cry_0_CC_0:Y3A[2],3086
p_0_cry_0_CC_0:Y3A[3],3071
p_0_cry_0_CC_0:Y3A[4],3061
p_0_cry_0_CC_0:Y3A[5],3154
p_0_cry_0_CC_0:Y3A[6],3043
p_0_cry_0_CC_0:Y3A[7],3070
p_0_cry_0_CC_0:Y3A[8],3148
p_0_cry_0_CC_0:Y3A[9],3117
p_0_cry_0_CC_0:Y3[0],
p_0_cry_0_CC_0:Y3[10],
p_0_cry_0_CC_0:Y3[11],
p_0_cry_0_CC_0:Y3[1],
p_0_cry_0_CC_0:Y3[2],
p_0_cry_0_CC_0:Y3[3],
p_0_cry_0_CC_0:Y3[4],
p_0_cry_0_CC_0:Y3[5],
p_0_cry_0_CC_0:Y3[6],
