pin,slack
p_0_cry_11:B,3163
p_0_cry_11:CC,3764
p_0_cry_11:P,3163
p_0_cry_11:S,3764
p_0_cry_11:Y3,
p_0_cry_11:Y3A,3220
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_28:A,5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_28:Y,5185
REG_OUT_R/Q[10]:ALn,
REG_OUT_R/Q[10]:CLK,
REG_OUT_R/Q[10]:D,3802
REG_OUT_R/Q[10]:EN,
REG_OUT_R/Q[10]:Q,
p_0_cry_8:A,3126
p_0_cry_8:B,3086
p_0_cry_8:CC,3795
p_0_cry_8:P,3086
p_0_cry_8:S,3795
p_0_cry_8:Y3,
p_0_cry_8:Y3A,3148
rst_ibuf/U_IOIN:Y,
rst_ibuf/U_IOIN:YIN,
a_imag_ibuf[2]/U_IOIN:Y,
a_imag_ibuf[2]/U_IOIN:YIN,
REG_OUT_OV/Q[0]:ALn,
REG_OUT_OV/Q[0]:CLK,
REG_OUT_OV/Q[0]:D,1291
REG_OUT_OV/Q[0]:EN,
REG_OUT_OV/Q[0]:Q,
REG_IN_BI/Q[2]:ALn,
REG_IN_BI/Q[2]:CLK,3881
REG_IN_BI/Q[2]:D,
REG_IN_BI/Q[2]:EN,
REG_IN_BI/Q[2]:Q,3881
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:A,3789
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:Y,3789
bbi_0_cry_6:A,4148
bbi_0_cry_6:B,4100
bbi_0_cry_6:CC,3917
bbi_0_cry_6:P,4100
bbi_0_cry_6:S,3917
bbi_0_cry_6:Y3,
bbi_0_cry_6:Y3A,4149
REG_OUT_I/Q[15]:ALn,
REG_OUT_I/Q[15]:CLK,
REG_OUT_I/Q[15]:D,3796
REG_OUT_I/Q[15]:EN,
REG_OUT_I/Q[15]:Q,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:A,3933
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:Y,3933
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_34:A,5186
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_34:Y,5186
REG_OUT_I/Q[8]:ALn,
REG_OUT_I/Q[8]:CLK,
REG_OUT_I/Q[8]:D,3795
REG_OUT_I/Q[8]:EN,
REG_OUT_I/Q[8]:Q,
REG_IN_B/Q[3]:ALn,
REG_IN_B/Q[3]:CLK,3987
REG_IN_B/Q[3]:D,
REG_IN_B/Q[3]:EN,
REG_IN_B/Q[3]:Q,3987
pi_0_cry_14:A,2156
pi_0_cry_14:B,2116
pi_0_cry_14:CC,3736
pi_0_cry_14:P,2116
pi_0_cry_14:S,3736
pi_0_cry_14:Y3,
pi_0_cry_14:Y3A,2185
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_22:A,5182
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_22:Y,5182
p_0_axb_0_i_0:A,4437
p_0_axb_0_i_0:B,4398
p_0_axb_0_i_0:Y,4398
REG_OUT_R/Q[8]:ALn,
REG_OUT_R/Q[8]:CLK,
REG_OUT_R/Q[8]:D,3795
REG_OUT_R/Q[8]:EN,
REG_OUT_R/Q[8]:Q,
b_imag_ibuf[1]/U_IOIN:Y,
b_imag_ibuf[1]/U_IOIN:YIN,
REG_OUT_R/Q[5]:ALn,
REG_OUT_R/Q[5]:CLK,
REG_OUT_R/Q[5]:D,3815
REG_OUT_R/Q[5]:EN,
REG_OUT_R/Q[5]:Q,
REG_AIR/Q[7]:ALn,
REG_AIR/Q[7]:CLK,5287
REG_AIR/Q[7]:D,5275
REG_AIR/Q[7]:EN,
REG_AIR/Q[7]:Q,5287
b_imag_ibuf[4]/U_IOIN:Y,
b_imag_ibuf[4]/U_IOIN:YIN,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:A,3785
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:Y,3785
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:A,3917
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:Y,3917
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_6:A,5256
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_6:Y,5256
p_imag_obuf[11]/U_IOPAD:D,
p_imag_obuf[11]/U_IOPAD:E,
p_imag_obuf[11]/U_IOPAD:PAD,
REG_IN_A/Q[3]:ALn,
REG_IN_A/Q[3]:CLK,3933
REG_IN_A/Q[3]:D,
REG_IN_A/Q[3]:EN,
REG_IN_A/Q[3]:Q,3933
b_imag_ibuf[0]/U_IOPAD:PAD,
b_imag_ibuf[0]/U_IOPAD:Y,
bbi_0_cry_0_CC_0:CC[0],
bbi_0_cry_0_CC_0:CC[1],4183
bbi_0_cry_0_CC_0:CC[2],4140
bbi_0_cry_0_CC_0:CC[3],3939
bbi_0_cry_0_CC_0:CC[4],3879
bbi_0_cry_0_CC_0:CC[5],3843
bbi_0_cry_0_CC_0:CC[6],3917
bbi_0_cry_0_CC_0:CC[7],3788
bbi_0_cry_0_CC_0:P[0],3846
bbi_0_cry_0_CC_0:P[1],3788
bbi_0_cry_0_CC_0:P[2],3881
bbi_0_cry_0_CC_0:P[3],3939
bbi_0_cry_0_CC_0:P[4],3880
bbi_0_cry_0_CC_0:P[5],3964
bbi_0_cry_0_CC_0:P[6],4100
bbi_0_cry_0_CC_0:P[7],
bbi_0_cry_0_CC_0:Y3A[0],3885
bbi_0_cry_0_CC_0:Y3A[1],3889
bbi_0_cry_0_CC_0:Y3A[2],3978
bbi_0_cry_0_CC_0:Y3A[3],3964
bbi_0_cry_0_CC_0:Y3A[4],3968
bbi_0_cry_0_CC_0:Y3A[5],4051
bbi_0_cry_0_CC_0:Y3A[6],4149
bbi_0_cry_0_CC_0:Y3A[7],
bbi_0_cry_0_CC_0:Y3[0],
bbi_0_cry_0_CC_0:Y3[1],
bbi_0_cry_0_CC_0:Y3[2],
bbi_0_cry_0_CC_0:Y3[3],
bbi_0_cry_0_CC_0:Y3[4],
bbi_0_cry_0_CC_0:Y3[5],
bbi_0_cry_0_CC_0:Y3[6],
bbi_0_cry_0_CC_0:Y3[7],
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:A,5250
